1. FracLac 2015Marb6206: File Slice (ROI) start position	2. Number (Ǥɴ) in SET (Ǥ) of SCAN POSITIONS (ɢ)	3. SCAN TYPE	4. Formula for FRACTAL DIMENSION (D)	5. Y₍ø₎ for the SET (Ø) of ALL (Øɴ) sampling ELEMENT SIZES (ø)	6. D̅ = ∑D₍ɢ₎∕Ǥɴ ∀ ɢ∈Ǥ	7. STANDARD DEVIATION (σ) for D	8. CV (σ/μ) for D 	9. ⋆D (D with highest r²)	10. ⋆r²	11. ⋆SE	12. ⋆Y-INT	13. Prefactor	14. LACUNARITY for Image (Ｌ) = ∑Λ₍ɢ₎∕Ǥɴ ∀ ɢ∈Ǥ	15. Formula for Λ₍ɢ₎	16. λ₍ø₎ = (CV)² = (σ∕μ)²	17. Ｌ′ = MEAN Λ′₍ɢ₎ | Λ′₍ɢ₎ = REGRESSION LINE SLOPE for ln(λ₍ø₎+1) vs ln(ø)	18. Mean Number Of Sizes = (∑Øɴ₍ɢ₎)/Ǥɴ	19. Mean Minimum ø	20. Mean Maximum ø	21. Standard Deviation in Ø∀ ɢ∈Ǥ	22. MEAN PREFACTOR LACUNARITY	
Imagen3tifŞ1_ (0, 0_1200x900) 156,194--1086,713 	12	Dʍ₍ɢ₎ = Box Count Binary; No filters; white; Save Results To Folder	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = Mean Foreground Pixels (F) Per Sample at Size ø at ɢ	1,0854	0,0261	-0,0241	1,0529	0,993	0,074	6,8752	Not Calculated	0,2083	S∕Øɴ | S = ∑λ₍ø₎ ∀ ø∈Ø	for F	-0,0361	100	5	233	0	0,0096	
Imagen3tifŞ1_ (0, 0_1200x900) 156,194--1086,713 	12	D͞ᵪ = Box Count Binary; No filters; white; Save Results To Folder Average Cover	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ø₎ = S∕Ǥɴ | S = ∑C₍ɢ,ø₎ ∀ ɢ∈Ǥ	1,0825	Not Calculated	Not Calculated	1,0825	0,9948	0,0654	8,563	0,0002	0,2149	S∕Øɴ | S = ∑λ₍ø₎ ∀ ø∈Ø	for F	-0,0417	100	5	233	0	Not Calculated	

Imagen4tifŞ1_ (0, 0_1200x900) 156,194--1086,713 	12	Dʙ₍ɢ₎ = Box Count Binary; No filters; white; Save Results To Folder	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = C₍ɢ,ø₎ = Samples of Size ø Containing Foreground Pixels (F) at ɢ	1,1428	0,0249	0,0218	1,1177	0,9897	0,0954	1,2678	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	100	5	233	0	0,0104	
Imagen4tifŞ1_ (0, 0_1200x900) 156,194--1086,713 	12	Dʍ₍ɢ₎ = Box Count Binary; No filters; white; Save Results To Folder	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = Mean Foreground Pixels (F) Per Sample at Size ø at ɢ	1,1428	0,0249	-0,0218	1,1177	0,9897	0,0954	7,1416	Not Calculated	0,1879	S∕Øɴ | S = ∑λ₍ø₎ ∀ ø∈Ø	for F	-0,0351	100	5	233	0	0,0091	
Imagen4tifŞ1_ (0, 0_1200x900) 156,194--1086,713 	12	D͞ᵪ = Box Count Binary; No filters; white; Save Results To Folder Average Cover	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ø₎ = S∕Ǥɴ | S = ∑C₍ɢ,ø₎ ∀ ɢ∈Ǥ	1,1401	Not Calculated	Not Calculated	1,1401	0,9919	0,0862	8,9744	0,0001	0,1932	S∕Øɴ | S = ∑λ₍ø₎ ∀ ø∈Ø	for F	-0,0394	100	5	233	0	Not Calculated	

Imagen5tifŞ1_ (0, 0_1167x875) 151,125--1056,720 	12	Dʙ₍ɢ₎ = Box Count Binary; No filters; white; Save Results To Folder	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = C₍ɢ,ø₎ = Samples of Size ø Containing Foreground Pixels (F) at ɢ	1,2048	0,0244	0,0202	1,1785	0,9873	0,1121	1,3663	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	100	5	267	0	0,0098	
Imagen5tifŞ1_ (0, 0_1167x875) 151,125--1056,720 	12	Dʍ₍ɢ₎ = Box Count Binary; No filters; white; Save Results To Folder	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = Mean Foreground Pixels (F) Per Sample at Size ø at ɢ	1,2048	0,0244	-0,0202	1,1785	0,9873	0,1121	7,3841	Not Calculated	0,1718	S∕Øɴ | S = ∑λ₍ø₎ ∀ ø∈Ø	for F	-0,0427	100	5	267	0	0,0086	
Imagen5tifŞ1_ (0, 0_1167x875) 151,125--1056,720 	12	D͞ᵪ = Box Count Binary; No filters; white; Save Results To Folder Average Cover	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ø₎ = S∕Ǥɴ | S = ∑C₍ɢ,ø₎ ∀ ɢ∈Ǥ	1,2027	Not Calculated	Not Calculated	1,2027	0,9896	0,1035	9,4661	0,0001	0,1755	S∕Øɴ | S = ∑λ₍ø₎ ∀ ø∈Ø	for F	-0,0454	100	5	267	0	Not Calculated	
